nom,pv,degat,prix,type,@illustration,description,@bordure,@pictovie,@pictoprix,@pictodegat
Prinception,,1,1,Sort,"C:\Users\webuser\Desktop\csv\burger\prinception.psd","En chantant il vient doucement prendre possession de votre esprit.","C:\Users\webuser\Desktop\csv\burger\contour_cartes.psd",,"C:\Users\webuser\Desktop\csv\burger\cout-pic.psd","C:\Users\webuser\Desktop\csv\burger\degats-pic.psd"
"Maitre Soda",9,9,9,Créature,"C:\Users\webuser\Desktop\csv\burger\maitre_soda.psd","Le sucre redouter tu dois !","C:\Users\webuser\Desktop\csv\burger\contour_cartes.psd","C:\Users\webuser\Desktop\csv\burger\vie-pic.psd","C:\Users\webuser\Desktop\csv\burger\cout-pic.psd","C:\Users\webuser\Desktop\csv\burger\degats-pic.psd"
"Don Pepperoni",6,8,7,Créature,"C:\Users\webuser\Desktop\csv\burger\don_pepperoni.psd","Ma si tou t'en prend à ma famille ! Tou va finir en rondelles !","C:\Users\webuser\Desktop\csv\burger\contour_cartes.psd","C:\Users\webuser\Desktop\csv\burger\vie-pic.psd","C:\Users\webuser\Desktop\csv\burger\cout-pic.psd","C:\Users\webuser\Desktop\csv\burger\degats-pic.psd"
Ke-babacool,1,1,1,Créature,"C:\Users\webuser\Desktop\csv\burger\ke-babacool.psd","Je suis affectueux et indigeste. PEACE","C:\Users\webuser\Desktop\csv\burger\contour_cartes.psd","C:\Users\webuser\Desktop\csv\burger\vie-pic.psd","C:\Users\webuser\Desktop\csv\burger\cout-pic.psd","C:\Users\webuser\Desktop\csv\burger\degats-pic.psd"
Skate-chup',3,2,2,Créature,"C:\Users\webuser\Desktop\csv\burger\skate-chup'.psd","Jamais à court de sauce !","C:\Users\webuser\Desktop\csv\burger\contour_cartes.psd","C:\Users\webuser\Desktop\csv\burger\vie-pic.psd","C:\Users\webuser\Desktop\csv\burger\cout-pic.psd","C:\Users\webuser\Desktop\csv\burger\degats-pic.psd"
Do-nut-eat,3,4,3,Créature,"C:\Users\webuser\Desktop\csv\burger\do-nut-eat.psd","Le sucre, c'est la vie. Ou pas. ","C:\Users\webuser\Desktop\csv\burger\contour_cartes.psd","C:\Users\webuser\Desktop\csv\burger\vie-pic.psd","C:\Users\webuser\Desktop\csv\burger\cout-pic.psd","C:\Users\webuser\Desktop\csv\burger\degats-pic.psd"
"Miss Meuf in",4,2,4,Créature,"C:\Users\webuser\Desktop\csv\burger\miss_meuf_in.psd","Je suis à croquer, dur de résister...","C:\Users\webuser\Desktop\csv\burger\contour_cartes.psd","C:\Users\webuser\Desktop\csv\burger\vie-pic.psd","C:\Users\webuser\Desktop\csv\burger\cout-pic.psd","C:\Users\webuser\Desktop\csv\burger\degats-pic.psd"
"Tahin Sushi",5,6,5,Créature,"C:\Users\webuser\Desktop\csv\burger\tahin_sushi.psd","Je vais te tailler en sashimi.","C:\Users\webuser\Desktop\csv\burger\contour_cartes.psd","C:\Users\webuser\Desktop\csv\burger\vie-pic.psd","C:\Users\webuser\Desktop\csv\burger\cout-pic.psd","C:\Users\webuser\Desktop\csv\burger\degats-pic.psd"
"Menu XXL",3,1,1,Bouclier,"C:\Users\webuser\Desktop\csv\burger\menu_xxl.psd","Vous allez avoir beaucoup de mal à le finir !","C:\Users\webuser\Desktop\csv\burger\contour_cartes.psd","C:\Users\webuser\Desktop\csv\burger\vie-pic.psd","C:\Users\webuser\Desktop\csv\burger\cout-pic.psd","C:\Users\webuser\Desktop\csv\burger\degats-pic.psd"
"File d'attente",6,3,3,Bouclier,"C:\Users\webuser\Desktop\csv\burger\file_d'attente.psd","A partir d'ici, 1 heure d'attente !","C:\Users\webuser\Desktop\csv\burger\contour_cartes.psd","C:\Users\webuser\Desktop\csv\burger\vie-pic.psd","C:\Users\webuser\Desktop\csv\burger\cout-pic.psd","C:\Users\webuser\Desktop\csv\burger\degats-pic.psd"
"Enfants agites",,2,1,Sort,"C:\Users\webuser\Desktop\csv\burger\enfants_agites.psd","Ils sont totalement insupportables !","C:\Users\webuser\Desktop\csv\burger\contour_cartes.psd",,"C:\Users\webuser\Desktop\csv\burger\cout-pic.psd","C:\Users\webuser\Desktop\csv\burger\degats-pic.psd"
"Sol glissant",,5,3,Sort,"C:\Users\webuser\Desktop\csv\burger\sol_glissant.psd","Pas évident de tenir bon !","C:\Users\webuser\Desktop\csv\burger\contour_cartes.psd",,"C:\Users\webuser\Desktop\csv\burger\cout-pic.psd","C:\Users\webuser\Desktop\csv\burger\degats-pic.psd"
"Intoxication alimentaire",,7,5,Sort,"C:\Users\webuser\Desktop\csv\burger\intoxication_alimentaire.psd","Vous êtes bon pour rester couché.","C:\Users\webuser\Desktop\csv\burger\contour_cartes.psd",,"C:\Users\webuser\Desktop\csv\burger\cout-pic.psd","C:\Users\webuser\Desktop\csv\burger\degats-pic.psd"
Badman,5,7,5,Créature,"C:\Users\webuser\Desktop\csv\burger\badman.psd","Son Moon Walk est légendaire. ","C:\Users\webuser\Desktop\csv\burger\contour_cartes.psd","C:\Users\webuser\Desktop\csv\burger\vie-pic.psd","C:\Users\webuser\Desktop\csv\burger\cout-pic.psd","C:\Users\webuser\Desktop\csv\burger\degats-pic.psd"
